"WHO Region","Cases - cumulative total per 100000 population","Cases - newly reported in last 7 days per 100000 population","Deaths - cumulative total per 100000 population","Deaths - newly reported in last 7 days per 100000 population","Name","Cases - cumulative total","Cases - newly reported in last 7 days","Deaths - cumulative total","Deaths - newly reported in last 7 days"
"Global",9844.902299004183,2.302008736061252,89.01555037801043,0.011944257866661971,"Global",767364883,179431,6938353,931
"Americas",31249.547,0.0,340.527,0.0,"United States of America",103436829,0,1127152,0
"Western Pacific",6747.064,0.396,8.24,0.005,"China",99268660,5829,121235,68
"South-East Asia",3260.155,0.173,38.541,0.001,"India",44990278,2387,531867,18
"Europe",60017.566,29.278,251.494,0.086,"France",39035040,19042,163570,56
"Europe",46203.953,1.974,209.515,0.005,"Germany",38426308,1642,174247,4
"Americas",17679.305,12.087,330.573,0.114,"Brazil",37579028,25691,702664,243
"Western Pacific",26727.165,0.0,59.058,0.0,"Japan",33803572,0,74694,0
"Western Pacific",61727.084,106.387,67.787,0.068,"Republic of Korea",31646973,54544,34754,35
"Europe",43355.008,8.42,319.227,0.086,"Italy",25857572,5022,190392,51
"Europe",36264.376,2.158,333.321,0.0,"The United Kingdom",24618436,1465,226278,0
"Europe",15704.223,0.0,273.355,0.0,"Russian Federation",22917873,0,398919,0
"Europe",20162.278,0.0,120.252,0.0,"Türkiye",17004677,0,101419,0
"Europe",29299.516,0.0,256.088,0.0,"Spain",13868227,0,121213,0
"Western Pacific",11927.314,4.602,44.387,0.001,"Viet Nam",11609878,4480,43206,1
"Western Pacific",44632.246,0.0,81.828,0.0,"Australia",11381171,0,20866,0
"Americas",22225.434,0.0,288.682,0.0,"Argentina",10044957,0,130472,0
"Europe",49463.335,0.0,132.08,0.0,"Netherlands",8610372,0,22992,0
"Americas",5906.002,1.631,259.133,0.009,"Mexico",7614771,2103,334107,11
"Eastern Mediterranean",9062.169,0.25,174.125,0.01,"Iran (Islamic Republic of)",7611583,210,146253,8
"South-East Asia",2488.664,1.022,59.14,0.017,"Indonesia",6807085,2795,161762,47
"Europe",17168.624,0.888,315.11,0.018,"Poland",6516890,337,119610,7
"Americas",12514.226,1.617,280.542,0.014,"Colombia",6367600,823,142748,7
"Europe",68268.524,18.762,252.79,0.045,"Austria",6076625,1670,22501,4
"Europe",56604.76,0.0,344.906,0.0,"Greece",6067218,0,36969,0
"Europe",54276.995,16.443,259.899,0.291,"Portugal",5588310,1693,26759,30
