"DATA_SOURCE","TOTAL_VACCINATIONS","TOTAL_VACCINATIONS_PER100","NUMBER_VACCINES_TYPES_USED","PERSONS_BOOSTER_ADD_DOSE","PERSONS_BOOSTER_ADD_DOSE_PER100","COUNTRY","ISO3","WHO_REGION","DATE_UPDATED","PERSONS_VACCINATED_1PLUS_DOSE","PERSONS_VACCINATED_1PLUS_DOSE_PER100","PERSONS_LAST_DOSE","PERSONS_LAST_DOSE_PER100","FIRST_VACCINE_DATE"
"0",3088966.0,107.3,6,402371,14.095,"Albania","ALB","EURO",2023-09-10 00:00:00,1349255,47.264,1279333,44.815,2021-01-13 00:00:00
"0",6.6273384E7,346.687,5,15766986,82.48,"Chile","CHL","AMRO",2023-06-02 00:00:00,18106832,94.72,17716364,92.677,2020-12-21 00:00:00
"0",833210.0,15.1,4,11676822,32.38527699530517,"Congo","COG","AFRO",2022-07-31 00:00:00,695760,12.609,654119,11.854,2021-03-23 00:00:00
"0",2.5263932E7,95.776,5,3138712,11.899,"Côte d’Ivoire","CIV","AFRO",2023-02-19 00:00:00,13568372,51.438,12164304,46.115,2021-03-01 00:00:00
"0",1.4915662E7,256.2,5,3616993,61.582,"Denmark","DNK","EURO",2023-10-01 00:00:00,4746509,80.813,4711993,80.226,2020-12-16 00:00:00
"1",79738.0,140.453,1,11676822,32.38527699530517,"Greenland","GRL","EURO",2022-03-14 00:00:00,41227,72.619,38511,67.834,
"1",178525.0,276.92,3,69339,107.556,"Guernsey","GGY","EURO",2022-12-19 00:00:00,54223,84.108,52710,81.761,
"0",1.2049511E7,91.751,6,425378,3.239,"Guinea","GIN","AFRO",2023-09-24 00:00:00,8715641,66.365,5853990,44.575,2021-03-05 00:00:00
"0",920752.0,46.786,2,76359,3.88,"Guinea-Bissau","GNB","AFRO",2023-10-15 00:00:00,747057,37.96,547637,27.827,2021-04-02 00:00:00
"0",960133.0,122.069,7,77874,9.901,"Guyana","GUY","AMRO",2023-06-02 00:00:00,495285,62.969,381984,48.564,2021-02-11 00:00:00
"0",1.6570818E7,169.6,8,3868705,39.929,"Hungary","HUN","EURO",2023-10-01 00:00:00,6358690,65.628,6152042,63.495,2020-12-23 00:00:00
"0",4.09826682E8,324.034,4,86596573,68.469,"Japan","JPN","WPRO",2023-10-03 00:00:00,104707550,82.788,103388112,81.745,2021-02-17 00:00:00
"0",3167393.0,48.5,6,300818,4.608,"Kyrgyzstan","KGZ","EURO",2023-06-18 00:00:00,1528725,23.419,1337850,20.495,2021-03-31 00:00:00
"0",2616012.0,205.699,3,654507,51.464,"Mauritius","MUS","AFRO",2023-07-30 00:00:00,1123773,88.363,1088142,85.561,2021-01-26 00:00:00
"0",5668144.0,172.899,6,1058839,32.299,"Mongolia","MNG","WPRO",2023-03-17 00:00:00,2284018,69.671,2185282,66.659,2021-02-23 00:00:00
"0",1862987.0,89.4,7,161633,7.685,"North Macedonia","MKD","EURO",2023-05-07 00:00:00,854570,40.629,838181,39.85,2021-02-17 00:00:00
"0",224558.0,228.332,4,44936,45.691,"Seychelles","SYC","AFRO",2023-04-09 00:00:00,88520,90.008,83565,84.97,2021-01-10 00:00:00
"0",1589640.0,113.587,5,174836,12.493,"Trinidad and Tobago","TTO","AMRO",2023-06-02 00:00:00,754399,53.905,718969,51.374,2021-02-17 00:00:00
